地址,市场,方向,持仓量,均价,现价,现值($),成本($),盈亏($),盈亏%,到期日,Profile
0xebb27d6e2614fe0b0f0e395460d27964d982c640,Will SoFi Technologies (SOFI) be added to the S&P 500 by Mar,Yes,5.72,0.46,0.0195,0.11,2.63,-2.52,-9576.1,2026-03-31,https://polymarket.com/profile/0xebb27d6e2614fe0b0f0e395460d27964d982c640
0xfdd1839bf9034f797dd7fe207197188717fe1829,Will Nasdaq 100 (NDX) hit 19350 (LOW) in March?,Yes,10.2,0.03,0.011,0.11,0.31,-0.19,-6333.3,2026-04-01,https://polymarket.com/profile/0xfdd1839bf9034f797dd7fe207197188717fe1829
0xfdd1839bf9034f797dd7fe207197188717fe1829,Will Nasdaq 100 (NDX) hit 19650 (LOW) in March?,Yes,7.86,0.06,0.0125,0.1,0.47,-0.37,-7916.7,2026-04-01,https://polymarket.com/profile/0xfdd1839bf9034f797dd7fe207197188717fe1829
0xfdd1839bf9034f797dd7fe207197188717fe1829,Will Nasdaq 100 (NDX) hit 19875 (LOW) in March?,Yes,6.1,0.08,0.0135,0.08,0.49,-0.41,-8312.5,2026-04-01,https://polymarket.com/profile/0xfdd1839bf9034f797dd7fe207197188717fe1829
0xebb27d6e2614fe0b0f0e395460d27964d982c640,Will Pure Storage (PSTG) be added to the S&P 500 by March 31,No,0.05,0.86,0.989,0.05,0.04,0.01,1500,2026-03-31,https://polymarket.com/profile/0xebb27d6e2614fe0b0f0e395460d27964d982c640
0x294d6426745e9c48c978b91478b91365af32b362,Bitcoin outperforms S&P 500 in December?,Yes,0.02,0.5245,1,0.02,0.01,0.01,9065.2,2025-12-31,https://polymarket.com/profile/0x294d6426745e9c48c978b91478b91365af32b362
0xa3f8813d845fdcd7aa879af98e09c9e8634498e1,S&P 500 (SPX) Up or Down on January 9?,Up,0.02,0.8309,1,0.02,0.01,0,2035.7,2026-01-09,https://polymarket.com/profile/0xa3f8813d845fdcd7aa879af98e09c9e8634498e1
0xe6534dd9d60cafcd8ac78091fbb883927b1d4594,S&P 500 (SPX) Up or Down on February 2?,Up,0.02,0.27,1,0.02,0.01,0.01,27037,2026-02-02,https://polymarket.com/profile/0xe6534dd9d60cafcd8ac78091fbb883927b1d4594
0x8d82b48442be48dc3e39af9a3a221cf00146c7e9,Will Bitcoin outperform Silver in February 2026?,No,0.02,0.745,1,0.02,0.02,0.01,3422.7,2026-01-31,https://polymarket.com/profile/0x8d82b48442be48dc3e39af9a3a221cf00146c7e9
0xebb27d6e2614fe0b0f0e395460d27964d982c640,"Will S&P 500 (SPX) close over $6,840 on the final trading da",Yes,0.02,0.846,1,0.02,0.01,0,1820.9,2026-01-31,https://polymarket.com/profile/0xebb27d6e2614fe0b0f0e395460d27964d982c640
